,id,title,rate,bedrooms,bathrooms,pets,lookup,street_number,street,locality,city,region,postcode,meshblock,lon,lat,formatted
0,property-970503,"1G/14 Upper Queen Street City Centre (Auckland City), Auckland",600,1,1,no,"1G/14 Upper Queen Street, Auckland",1G/14,Upper Queen Street,Auckland Central,Auckland,Auckland,1010.0,4004960.0,174.761402,-36.858596,"1G/14 Upper Queen Street, Auckland Central, Auckland"
1,property-2799106,"406/147-149 Victoria Street West City Centre (Auckland City), Auckland",540,1,1,no,"406/147-149 Victoria Street West, Auckland",406/147,Victoria Street West,Auckland Central,Auckland,Auckland,1010.0,4012591.0,174.759537,-36.847513,"406/147 Victoria Street West, Auckland Central, Auckland"
2,property-3036639,"7C/34 Kingston Street City Centre (Auckland City), Auckland",450,2,1,no,"7C/34 Kingston Street, Auckland",7C/34,Kingston Street,Auckland Central,Auckland,Auckland,1010.0,433402.0,174.762271,-36.847394,"7C/34 Kingston Street, Auckland Central, Auckland"
3,property-4924201,"Common Area/10 Central Avenue, The Avenues Central Whangarei",500,1,1,no,"Common Area/10 Central Avenue, The Avenues Central Whangarei",,,,,,,,,,
4,property-5386856,"709/70 Sale Street City Centre (Auckland City), Auckland",500,2,2,no,"709/70 Sale Street, Auckland",709/70,Sale Street,Auckland Central,Auckland,Auckland,1010.0,4012592.0,174.754906,-36.849914,"709/70 Sale Street, Auckland Central, Auckland"
5,property-5961548,25 Cleghorn Avenue Mount Roskill,1600,5,3,yes,25 Cleghorn Avenue Mount Roskill,25,Cleghorn Avenue,Mount Roskill,Auckland,Auckland,1041.0,560800.0,174.74512,-36.90271,"25 Cleghorn Avenue, Mount Roskill, Auckland"
6,property-6173006,307/27 Victoria Street West City Centre (Auckland City),900,2,2,no,307/27 Victoria Street West,307,Victoria Street West,Pukekohe,Pukekohe,Auckland,2120.0,4013119.0,174.882308,-37.207906,"307 Victoria Street West, Pukekohe"
7,property-6173008,309/27 Victoria Street West City Centre (Auckland City),900,2,2,no,309/27 Victoria Street West,309,Victoria Street West,Pukekohe,Pukekohe,Auckland,2120.0,4013119.0,174.882172,-37.20798,"309 Victoria Street West, Pukekohe"
8,property-6173009,310/27 Victoria Street West City Centre (Auckland City),900,2,2,no,310/27 Victoria Street West,,Victoria Street,Okarito,Whataroa,West Coast,7886.0,4013793.0,170.165629,-43.223154,"Victoria Street, Okarito, Whataroa"
9,property-6183672,68 Boundary Road Blockhouse Bay,1200,3,2,yes,68 Boundary Road Blockhouse Bay,68,Boundary Road,Blockhouse Bay,Auckland,Auckland,600.0,584501.0,174.715872,-36.915163,"68 Boundary Road, Blockhouse Bay, Auckland"
10,property-6215185,"106/25 Enfield Street Mount Eden, Auckland",780,2,2,no,"106/25 Enfield Street Mount Eden, Auckland",106/27,Enfield Street,Mount Eden,Auckland,Auckland,1024.0,4015940.0,174.762826,-36.868605,"106/27 Enfield Street, Mount Eden, Auckland"
